user_id,business_id,text,date,compliment_count
xEQ20W2KZlAXod5qHhkG9g,vOY6w1Q45Iod8sy2c8zetg,Business dinner.,2011-08-11 22:01:04,0
Q_QsCiaeQ5T_CfmidxEM7Q,MQXFdfDb1UjrZngnjslmhA,Which they had lunch hours!,2012-10-09 23:35:58,0
G-MYsPWoHOZsy-kAYi4kCg,NSzhahVpI_B32snhJHM0HA,Throw the peanuts and eat the grub.,2012-04-07 23:05:52,0
ZH3PVSJ9OFcps-MXsJu09w,JKAYcu_1UPHTyquCZCKPaw,"Steaks are a la carte and sides are family style sized, everything yummy but the menu sizing/side situation makes it difficult for couples.",2014-10-23 02:50:43,0
KImDfKRpLV1vv7in15gehg,_dcX-gXs3VxTBmURWdnTOw,Sunday Brunch,2014-03-23 17:30:04,0
x4g0aLq1BuoKk4Wtwwr-dg,HO__o8ndEqZS84voSZZONQ,Overpriced!...And NO Cole Slaw side dish!,2014-01-17 22:16:50,0
denQdQn2CyRKuYAgKbfSFg,H-wMVXewXX8DmY7uF2pwYA,Amazing food and service!,2012-09-07 20:32:22,0
owj_Ij0UvMi8ZiGa_Y_deg,Im0hMcWaqWIzuBM8xILDsA,"Had the Fri. fish fry, very nice!  Classy place I love it. Arugula beet salad was wonderful. Nice waitress too!",2014-03-15 01:43:50,0
xtwoOTTOuZrXj4GQtsueuA,VtmG4MjDQ2rz6Jdi38gg-g,Closed! Location opening March 17th as Bar Louie!!,2012-03-15 11:14:03,0
im5QaJjXCvJZrCx3PcbYPQ,NSzhahVpI_B32snhJHM0HA,"food was so so. drinks were good, terrible costumer service.",2016-06-07 01:59:19,0
UmA9TWob-NqkTdt5UtOrtQ,CmIEkQZ87j1IGm9qWYqUdQ,Great fresh sushi all u can eat 14 lunch 20 dinner wow ful!!!,2016-02-20 22:31:15,0
MastIsb-44ejwKEBVfAXMQ,JzITUte597nI4RXQK9nERQ,"Sit at the bar.. Ashley and Taylor are amazing!
And get the Volcano Roll, its easily their best!",2015-10-20 16:48:00,1
2wzBYj-J0xQ2RWD46cDI5w,jWlErd3TOkO4C0MgP8eDvw,Make reservations,2014-07-18 02:53:07,0
9SWtEX1k9AjRg93BAzMCpg,9ismhhkIPREHOo8tJi0ETA,Happy hour drink specials and half price appetizers,2014-03-15 01:23:34,0
m___sasW8jFYDt3w0dcSZA,PXJkqZGaC5qxhJTVQodN_w,If you want a good steak; this is the place to go!! NEVER A BAD STEAK!!! I mean....NEVER!!!,2011-05-18 23:01:44,0
w8q1hum7FsGb6hb9T_2j2g,Vj1_2pERP4QRALtERvXFqw,Nice atmosphere,2011-10-22 23:48:18,0
cyxBBUudTpVwN-psQYT-Rg,d6VYQbeTZ_WdD8Uuhh35dg,Very nice bar!,2011-10-15 22:30:45,0
LNz5NSoV8XVZhxIp5wYh3Q,DMRaPL6SnA_RX7yY6rprhQ,Stone it!,2011-02-04 00:31:36,0
4jm9CSdb7HFoP5nD9qBCUA,lpxj6LFir23Ds6swW8a6fg,Closed,2011-08-04 22:18:29,0
EFM7rmwvSEUbEGMWSNCnhQ,CLSRz9E-HmQRDwV2_smoDA,Salmon rolls to go : ),2011-08-19 00:35:50,0
EOS1aH7ZASKaE2BfbQjeJg,JMahS85NWAXQuyGLx3UlQQ,"Went forv lunch on a Saturday. We were the only customers, service was great. Hoagies were well worth the price, stuffed with meat!",2012-11-28 04:48:23,0
WyfFLOIMudl-5nfovmSSuA,JLbgvGM4FXh9zNP4O5ZWjQ,Love this places' atmosphere and thier macaroni and cheese :),2016-01-17 20:35:40,0
Lhsjspq1KfppDWEl9EC89g,nRmTDIs3Gbis9aX2-v1qcw,Amber is an excellent bartender/waiter!,2011-12-24 19:44:37,0
LNz5NSoV8XVZhxIp5wYh3Q,K8iNH0OEhS7vZLVyuO1v4A,Ginga Shizuku n Sashimi. It never fails here!,2010-04-25 00:47:37,0
z0R494JwBcMDVt41_B2jPg,7bQU0QI_YID3MgZirZHmSg,You have to get the truffle potato chips!,2016-03-09 23:11:30,0
eqr0FFABkLb01LK04S4WMg,RJNAeNA-209sctUO0dmwuA,Spicy burget was awesome! Service first rate. Atmosphere fun!,2014-10-19 00:14:33,0
QYKexxaOJQlseGWmc6soRg,nfJHNu_AQXptaTQIHjpAoQ,Ask for peanuts!,2016-01-13 23:44:47,0
Wom5ss-owNYkxSy_j4s39A,xSgXMxqfA9VXGHYb9NC9vg,"Good for some things, not so good for many. Hahaha",2013-08-24 21:52:06,0
JsOZKgLrNq2XXPZu4Shesw,RJNAeNA-209sctUO0dmwuA,Their beer selection is unreal. Wow.,2012-12-20 01:30:47,0
MX2MgFI7ziCCLSvONz_WBg,I6ocB-D9EAlk3Y9xGll1qA,"Oysterfest starts tonight!!  
Blue Points, Fat Baby, or Wild Cat Cove.... What to do?",2016-04-27 23:33:40,0
T5I9fwtXinCgUv92gFJ4gQ,HBX4hBNcOYwAJ2kAWebtbA,We came on a Tuesday night and it was night packed - really great time!!!,2016-12-07 00:47:22,0
VIGYAdgtus5tW7ZtImAAzw,KBBXaD0FXDTpFuTuSJ6yHA,Seasonal berry spinach salad,2012-07-30 17:01:45,0
uf1UdKswKWOqFLUvRvvbzA,9spk8K9pg5HdDNMNxAlGwg,Located in a quiet residential area just few blocks off state street!,2011-10-09 23:13:46,0
MVlyd9RyJlI2Odoy4kWtPA,4A1ariVt4NG98LzPjjRpkQ,"Feels like eating in a Chucky Cheese disco. The spicy tuna was basically dyed panko no fish. Very generic, teens will like this place.",2012-11-07 18:33:59,0
uyfMEBN2AjJ3ODsjVwrREw,VDn6tM_Q_08CVuNHSUH4Lw,Amanda is the best!,2013-02-12 00:01:06,0
R6-3KTxBU37RB5KQDNLJCA,d6VYQbeTZ_WdD8Uuhh35dg,First time here!,2012-08-01 23:32:30,0
YdD-YZQnKmDMVI1B92mOww,8GVGzFgTKNfPixL143Zadw,They always have great service and great food.,2015-06-30 22:37:53,0
Rw1AysawQfy1Y8kLlO55ZA,PeATTp15Y_ExaN6mR1dmKw,Come Tuesday's for the all you can eat wings.,2015-09-02 00:50:15,0
TfPoBNbVwDzagjiR3cPX0g,binymvD2QxETihoAmHOMSQ,Get here early on Friday night...the Prime Rib goes quick!!,2016-11-04 23:45:32,1
uf1UdKswKWOqFLUvRvvbzA,RJNAeNA-209sctUO0dmwuA,You can't make reservations even if you want to. Prepare to wait for an hour,2011-08-19 23:41:13,0
QtSHoWzmf3BrE3FPY6UI0A,ZspvlO5Dvtd517YhVLJJ_A,"Great service, great food, great staff. This is the place to go if you're downtown.",2018-04-01 23:24:06,0
BQJp0zg-3vW69opTYMBRZA,U3_446QN2gdF87stGCfu1Q,Only allow groups of 5 or more to eat there???? Wtf,2016-04-30 00:43:00,0
4HwS2oCVQ1-f_kzHCv5X3A,RJNAeNA-209sctUO0dmwuA,Karaoke night!,2015-03-12 04:07:22,0
NAZzgDkNIL_DpHg6xu9APQ,JzITUte597nI4RXQK9nERQ,"Just all right. My chicken was a little overdone. The hubby got the steak and it was good, just as he asked. The waitress was terrific though and the best part of the evening was spending time with our family:)",2015-02-02 01:00:13,0
ekEdE1Uvy3HYwLh19JkxAg,B_hU-QEkt5G98pYGdfIrsg,Very good sushi and hibachi! The staff is also very friendly.,2015-07-19 11:59:32,0
IjXnO3aSmaw4Rt1hfoVV_g,L95ppCbcWAt4LUWrCiEvPg,The generous pour is a great deal for wines.,2014-07-18 23:56:41,0
sRifCUtuQ9arX2vIzD4Jug,Rii85bzYKGC9P0zOyAem6A,Best steak ever! Service was awesome! Wish there was one in the west side burbs,2016-07-29 20:52:17,0
qW-cnqEJ-ijC23GiuGQx8w,CySpYWrovIOGh7hdz9ahOQ,Wow no one is here,2011-10-16 03:34:28,0
SOegnrCTG9gPmrQMU6x82A,1qVF1_pSuk88hrTek6bPeg,Half price happy hour sushi!,2011-07-29 22:27:03,0
qjlqn9PAQ0E6mAqarf5Opg,d6VYQbeTZ_WdD8Uuhh35dg,Tempest is great!!,2016-08-06 03:09:33,0
uSw4RDwhFPfSjKBCrFxx_g,wyAKcdWQCXudHY30M0Tq4Q,"Be nice to my baby, Kayla",2010-11-28 22:00:17,0
zr2ARlz9CnCi3NKKjs12Jw,Y1Y5aSg5YUFHkpqUnkydig,Perfect margaritas have really become the only reason we come back.,2016-11-28 18:09:58,0
bDhwFYNJKlbu29niKq0Cbw,1MrJJ9tyNyfFrxaNZ67xFg,"Great place. Ambience, food and service terrific. Highly recommended.",2013-12-22 01:28:08,0
